geo.coordinates
"[ 29.95657057, -90.07128238999999 ]"
"[ 30.02168819, -90.23077945 ]"
"[ 29.64844145, -91.09716673 ]"
"[ 29.96344064, -90.05773544 ]"


"[ 30.12513209, -93.34789094 ]"
"[ 29.9145317, -90.0009328 ]"
"[ 30.00552335, -90.15582568000001 ]"
"[ 32.55918503, -92.89132476 ]"
"[ 30.02149471, -90.11053563999999 ]"
"[ 30.15158327, -93.22775832000001 ]"
"[ 29.93591591, -90.12039497000001 ]"
"[ 30.02005112, -90.22482159 ]"
"[ 32.55257607, -92.85564601 ]"
"[ 15.48717, -87.98757999999999 ]"

"[ 30.31785925, -91.90251944000001 ]"
"[ 32.56890901, -92.50695612 ]"
"[ 15.46640136, -88.00275682 ]"
"[ 29.64842389, -91.09712516 ]"
"[ 29.875016, -92.218675 ]"
"[ 30.27651629, -93.26174833 ]"
"[ 29.974134, -90.103916 ]"


"[ 32.35923292, -93.71887354 ]"
"[ 29.64860838, -91.09734108000001 ]"
"[ 29.90107922, -90.01630498 ]"

"[ 30.03331661, -90.04657462999999 ]"
"[ 29.9658881, -90.0636853 ]"

"[ 29.85048989, -90.96748530000001 ]"
"[ 32.54761934, -92.82019794 ]"
"[ 30.31785925, -91.90251944000001 ]"
"[ 32.44705771, -92.09285846 ]"
"[ 14.58587, -88.58333 ]"
"[ 30.03308129, -90.0464886 ]"
"[ 14.64246369, -89.72891085000001 ]"
"[ 32.54768908, -92.81660914 ]"
"[ 32.54778564, -92.81119645 ]"


"[ 15.2485852, -90.10021570000001 ]"
"[ 30.03329398, -90.04669223 ]"
"[ 30.01510458, -90.20563094000001 ]"
"[ 17.49620244, -88.18255662999999 ]"
"[ 29.95750593, -90.06194562 ]"
"[ 32.5623229, -92.05561159 ]"
"[ 30.15349274, -93.22643509 ]"

"[ 29.9562223, -90.11840628 ]"
"[ 30.03329398, -90.04669223 ]"
"[ 29.8937745, -90.1121893 ]"
"[ 29.9570866, -89.97637284 ]"
"[ 32.4929861, -92.40615095 ]"
"[ 15.54706, -88.02788 ]"
"[ 30.03315291, -90.0464156 ]"
"[ 32.55877507, -92.05912879 ]"
"[ 29.9496163, -90.0296634 ]"
"[ 30.25371253, -91.89569763 ]"
"[ 29.93720533, -90.1207024 ]"
"[ 30.02570136, -90.05996523 ]"
"[ 30.15349001, -93.22644213 ]"
"[ 32.49803853, -92.71610611 ]"
"[ 32.49803853, -92.71610611 ]"
"[ 32.4929317, -92.40600695000001 ]"
"[ 15.77255707, -86.79682705 ]"
"[ 32.53058784, -92.22059187000001 ]"
"[ 29.97049649, -91.74298456 ]"
"[ 30.31786209, -91.90251689 ]"


"[ 30.15127581, -93.22681169000001 ]"
"[ 32.62943671, -92.00459234 ]"
"[ 29.94000326, -90.07503027999999 ]"
"[ 32.56283381, -92.05668420000001 ]"
"[ 15.4424925, -87.92693250000001 ]"
"[ 29.85043421, -90.96748721 ]"
"[ 29.88410594, -90.10903297999999 ]"
"[ 31.41704013, -93.42736561 ]"

"[ 29.96561644, -92.08136473 ]"
"[ 32.5479402, -93.49257788 ]"
"[ 29.95621777, -90.11840771 ]"
"[ 29.97662696, -90.04346422 ]"

"[ 29.94026864, -90.11993071000001 ]"
"[ 32.58582322, -92.06114293 ]"
"[ 32.53084132, -92.22040617 ]"
"[ 30.0329957, -90.04744241 ]"
"[ 14.58862855, -87.8367002 ]"

"[ 30.02148678, -90.25625238000001 ]"
"[ 32.40176777, -93.86366305 ]"
"[ 32.42880437, -92.20255997 ]"

"[ 32.46766042, -92.08839202 ]"
"[ 15.46816855, -90.31378515999999 ]"
"[ 32.42880437, -92.20255997 ]"
"[ 29.9317046, -90.12316067 ]"
"[ 30.03322222, -90.04619820000001 ]"
"[ 29.363117, -90.29043088 ]"
"[ 30.02271304, -90.26554942 ]"
"[ 29.9495755, -90.0296137 ]"
"[ 30.3770347, -92.00612470999999 ]"
"[ 29.95942921, -90.01238241999999 ]"
"[ 15.47199773, -88.00120818000001 ]"
"[ 29.88407551, -90.10904632 ]"
"[ 29.95014712, -90.07299688000001 ]"

"[ 32.42880437, -92.20255997 ]"
"[ 15.41048, -87.79194 ]"

"[ 29.85037633, -90.96732609999999 ]"
"[ 15.40897, -87.78749000000001 ]"
"[ 15.40897, -87.78749000000001 ]"
"[ 31.4008593, -92.46829990000001 ]"
"[ 30.00514052, -90.15739381 ]"
"[ 31.38061666, -93.43628938000001 ]"
"[ 29.98540717, -90.09085589 ]"
"[ 29.89404941, -90.21205863 ]"
"[ 29.96555, -90.1052 ]"

"[ 31.37552556, -93.43590684999999 ]"
"[ 30.048881, -89.9554522 ]"
"[ 32.42880439, -92.20256005 ]"
"[ 15.40897, -87.78749000000001 ]"
"[ 30.67531822, -92.42824129 ]"
"[ 29.86133291, -90.03356466 ]"
"[ 29.93496748, -90.10669798000001 ]"
"[ 30.15355103, -93.22651564 ]"
"[ 32.42881618, -92.20258848 ]"
"[ 15.40897, -87.78749000000001 ]"
"[ 32.56276368, -92.05667346 ]"
"[ 30.69417247, -92.25824011 ]"
"[ 15.77272917, -86.7970894 ]"
"[ 30.94010413, -92.09544846999999 ]"
"[ 29.89113828, -90.05154982000001 ]"
"[ 32.4676331, -92.08839998000001 ]"
"[ 32.428824, -92.20258837 ]"
"[ 29.95047076, -90.082376 ]"
"[ 29.922289, -90.09126000000001 ]"
"[ 29.85033664, -90.96733586000001 ]"

"[ 30.03320465, -90.04627458 ]"
"[ 32.44705771, -92.09285846 ]"
"[ 29.92108, -90.117014 ]"

"[ 32.55922029, -92.05885501 ]"
"[ 32.33994953, -91.77818272 ]"
"[ 30.15379272, -91.92160253999999 ]"
"[ 29.875016, -92.218675 ]"
"[ 30.03350344, -90.04611027 ]"

"[ 30.31785925, -91.90251943 ]"
"[ 32.44707049, -92.09285653000001 ]"

"[ 29.94893167, -90.06891186 ]"
"[ 30.154765, -93.9702437 ]"

"[ 30.02108008, -90.27361155 ]"
"[ 15.7623296, -86.7855021 ]"
"[ 15.79002, -87.9918 ]"



"[ 32.64538867, -92.06020928 ]"
"[ 29.84419115, -90.0717819 ]"
"[ 29.8955949, -90.0945226 ]"
"[ 30.25810534, -93.23181927 ]"


"[ 32.49293275, -92.40593896999999 ]"
"[ 30.01491355, -90.20562932 ]"
"[ 32.44707049, -92.09285653000001 ]"
"[ 30.94279754, -92.09483892999999 ]"
"[ 32.1571496, -91.675586 ]"
"[ 30.004366, -90.2134878 ]"
"[ 30.01515295, -90.20567445 ]"
"[ 29.89105981, -90.05167226 ]"
"[ 30.94012555, -92.09555098 ]"


"[ 29.8955949, -90.0945226 ]"
"[ 15.48922118, -88.01762529 ]"
"[ 29.94949179, -90.06885386 ]"
"[ 29.9759836, -90.0483275 ]"
"[ 32.4470394, -92.09284019 ]"
"[ 29.94962035, -90.0622942 ]"
"[ 30.52722571, -92.12263693 ]"
"[ 30.03315376, -90.0463894 ]"
"[ 31.06601976, -92.51058561000001 ]"
"[ 29.70377522, -90.47936202 ]"
"[ 30.25830232, -93.2317353 ]"
"[ 29.9759836, -90.0483275 ]"
"[ 30.366067, -92.30860800000001 ]"
"[ 29.84407507, -90.07210214 ]"
"[ 30.516253, -92.18405 ]"
"[ 30.132999, -92.495192 ]"
"[ 30.221468, -92.26297099999999 ]"
"[ 30.675013, -92.426416 ]"
"[ 15.78691, -87.97595 ]"
"[ 31.82948738, -91.69268452999999 ]"
"[ 30.72713, -91.967508 ]"
"[ 30.847158, -92.028588 ]"
"[ 30.873539, -92.30670600000001 ]"
"[ 31.06608841, -92.51079675 ]"
"[ 29.8955949, -90.0945226 ]"
"[ 29.91717478, -90.11959336 ]"
"[ 30.02105544, -90.27359085000001 ]"
"[ 32.4470394, -92.09284019 ]"
"[ 29.85045408, -90.96748348 ]"
"[ 30.94012555, -92.09555098 ]"
"[ 30.15663103, -92.00653398 ]"
"[ 31.16169098, -93.26775374 ]"
"[ 30.01201337, -90.18672245 ]"
"[ 16.8128648, -89.82285417999999 ]"
"[ 32.4675585, -92.08821518000001 ]"
"[ 29.84424136, -90.07158371 ]"
"[ 31.06608841, -92.51079675 ]"
"[ 29.91724561, -90.11961831000001 ]"
"[ 30.66676122, -92.27497081 ]"
"[ 30.154765, -93.9702437 ]"
"[ 30.66679085, -92.27492094 ]"
"[ 29.78408646, -90.84718393 ]"
"[ 32.53051314, -92.22049667 ]"
"[ 32.46766033, -92.08836845 ]"
"[ 30.25814197, -93.23178350000001 ]"
"[ 29.84440935, -90.07192215000001 ]"
"[ 29.84438669, -90.07190264 ]"
"[ 29.99472964, -90.10042308 ]"
